2026-09-08T16:33:45Z	host_key published on /rescue/last
2026-09-08T16:33:45Z	waiting for ssh on 88.99.2.106 (rescue)
2026-09-08T16:33:59Z	ssh answering on 88.99.2.106 (rescue)
2026-09-08T16:34:02Z	T2 rescue login over API-pinned host key
2026-09-08T16:35:24Z	T5 reset into installed system
2026-09-08T16:35:27Z	POST /reset/3064816 -> 200 (captures/reset-installed.json)
2026-09-08T16:35:27Z	waiting for ssh on 88.99.2.106 (installed)
2026-09-08T16:46:21Z	T-vkvm activation (os=vkvm)
2026-09-08T16:46:24Z	T-vkvm hardware reset
2026-09-08T16:46:44Z	T-vkvm activation + hardware reset (retry without authorized_key)
2026-09-08T16:50:09Z	T-efi hardware reset after installing the EFI bootloader from vKVM rescue
2026-09-08T17:01:18Z	T-vkvm2 activation + hardware reset (to watch the fixed disk boot)
2026-09-08T17:04:51Z	T-hw reset after enabling mdev/hwdrivers sysinit services (NIC driver autoload)
2026-09-08T17:06:14Z	waiting for ssh on 88.99.2.106 (installed)
2026-09-08T17:06:16Z	ssh answering on 88.99.2.106 (installed)
2026-09-08T17:06:19Z	T6 installed login over pre-read host key
2026-09-08T17:06:22Z	GET /boot/3064816/rescue -> 200 (captures/rescue-final.json)
2026-09-08T17:07:54Z	T0 rescue activation
2026-09-08T17:07:55Z	POST /boot/3064816/rescue -> 200 (captures/rescue-activate.json)
2026-09-08T17:07:57Z	GET /boot/3064816/rescue -> 200 (captures/rescue-after.json)
2026-09-08T17:07:57Z	T1 hardware reset
2026-09-08T17:08:00Z	POST /reset/3064816 -> 200 (captures/reset.json)
2026-09-08T17:08:00Z	polling /boot/3064816/rescue/last for host_key
2026-09-08T17:08:03Z	GET /boot/3064816/rescue/last -> 200 (captures/rescue-last.json)
2026-09-08T17:08:10Z	GET /boot/3064816/rescue/last -> 200 (captures/rescue-last.json)
2026-09-08T17:08:16Z	GET /boot/3064816/rescue/last -> 200 (captures/rescue-last.json)
2026-09-08T17:08:23Z	GET /boot/3064816/rescue/last -> 200 (captures/rescue-last.json)
2026-09-08T17:08:30Z	GET /boot/3064816/rescue/last -> 200 (captures/rescue-last.json)
2026-09-08T17:08:37Z	GET /boot/3064816/rescue/last -> 200 (captures/rescue-last.json)
2026-09-08T17:08:44Z	GET /boot/3064816/rescue/last -> 200 (captures/rescue-last.json)
2026-09-08T17:08:51Z	GET /boot/3064816/rescue/last -> 200 (captures/rescue-last.json)
2026-09-08T17:08:58Z	GET /boot/3064816/rescue/last -> 200 (captures/rescue-last.json)
2026-09-08T17:09:05Z	GET /boot/3064816/rescue/last -> 200 (captures/rescue-last.json)
